book,window,n_obs,gamma,se_gamma,t_gamma,t_gamma_lag21,tv_ann,alpha_ann,alpha_plus_tv_stress,mde_tv_ann,R2,avg_gross,gamma_pit_qqqres,t_gamma_pit_qqqres,boot_p,parent_gamma,parent_gross,leg3_pass,diff_se,distinguishable,timing_positive,strong
CTRL_spy_buyhold,blind_1y,223,-0.04351595009288661,0.3001243405410531,-0.14499307191958394,-0.1593525472079263,-0.0006964228803453598,0.009441568966971873,0.008745146086626514,0.0136409343839392,0.9956811384885356,1.0,-0.04351595009288467,-0.14499307191957703,,,,,,,,
CTRL_qqq_buyhold,blind_1y,223,2.1102238868172424e-15,4.446185664844971e-12,0.0004746144326590602,0.0003973786054271874,3.377171345894791e-17,0.03319102412792976,0.03319102412792979,2.0208333254018493e-13,1.0,1.0,-8.317107406400899e-16,-0.00018687754535828547,,,,,,,,
CTRL_qqq_1.5x_static,blind_1y,223,-0.04194361614257427,0.014477983493649878,-2.8970620225510664,-3.0267259217195117,-0.0006712594785075514,0.07184934869502185,0.04698122822996722,0.0006580380068227698,0.9999980488919363,1.5,-0.041943616142578265,-2.8970620225497385,1.0,,,,,,,
PARENT_qqq_sma200_2x,blind_1y,223,-23.0860647354564,11.186833945960299,-2.063681721475186,-2.2926731395482247,-0.3694659926897503,0.4411914630420711,0.02564539245762156,0.5084521553492412,0.8854123745591279,1.952191235059761,-23.08606473545642,-2.0636817214751857,,,,,,,,
CTRL_spy_buyhold,blind_5y,1227,0.4836318860410426,0.15429208256315946,3.134521733110109,3.5928516482494026,0.015233308824436966,-0.013302986910258678,0.0019303219141782874,0.01380197706221527,0.99509031691413,1.0,0.4836318860410434,3.1345217331101733,0.103,,,,,,,
CTRL_qqq_buyhold,blind_5y,1227,7.757956800259071e-16,3.333712431767714e-14,0.023271223775427397,0.018709899726611634,2.443580648753134e-17,0.033191024126256914,0.03319102412625694,2.982124665823014e-15,1.0,1.0,1.4766220238962597e-15,0.04453486244013495,,,,,,,,
CTRL_qqq_1.5x_static,blind_5y,1227,-0.014955600218220075,0.010183268393690078,-1.4686444116004158,-1.2660485080165134,-0.0004710675275029931,0.06807745627109701,0.04688927382916859,0.0009109296760613648,0.9999962921180237,1.5,-0.014955600218220866,-1.4686444116015913,,,,,,,,
PARENT_qqq_sma200_2x,blind_5y,1227,-3.8424134270816372,3.235994213764159,-1.1873981142296548,-1.702419729216616,-0.12102731861838098,0.25239420889249714,0.10013439512025726,0.28947122347351434,0.6288798825396303,1.7537848605577688,-3.8424134270816404,-1.1873981142296581,,,,,,,,
vol_managed_qqq,blind_1y,223,-7.902880326327182,2.835688471711624,-2.7869353087142876,-3.2007052397693982,-0.12647653718090668,0.1455981435512965,-0.0065979884371343,0.1288847159353274,0.9715533904339824,1.531465524016186,-7.902880326327185,-2.7869353087142934,,-23.0860647354564,1.952191235059761,False,11.060096053800482,True,False,False
vol_managed_qqq,full_IN-SAMPLE,2783,-0.3258094458807094,1.5272887718156196,-0.2133253723154081,-0.2619422559665133,-0.010991648096967786,0.10765924544247236,0.08453427011095815,0.14633177599350106,0.8609399469737884,1.4634651292482437,-0.32580944588070515,-0.21332537231540516,,,,,,,,
vol_core_svxy,blind_1y,223,-8.098083109731501,2.538218061214593,-3.1904599661765825,-3.8308917711538912,-0.1296005338850965,0.15394082485236021,-0.012342090349302344,0.11536440517533288,0.9687913666677603,1.7579987614294397,-8.098083109731501,-3.1904599661765825,,-23.0860647354564,1.952191235059761,False,10.391070316662127,True,False,False
vol_core_svxy,full_IN-SAMPLE,2783,-0.5193603472816447,2.107202391192893,-0.2464691334123028,-0.3066019260589107,-0.01752136484995881,0.129827323367213,0.0953970645472601,0.20189414992846785,0.802619601292305,1.6458807693684625,-0.5193603472816417,-0.24646913341230145,,,,,,,,
dual_momentum_gem,blind_1y,223,1.780817480587927,2.4861102513093365,0.7163067203677072,0.8676663931736666,0.028499941666288983,0.13996784975201523,0.14427093043175712,0.11299605606200545,0.8171935422081787,1.5,1.7808174805879278,0.7163067203677068,,-23.0860647354564,1.952191235059761,True,11.28368996492917,True,False,False
dual_momentum_gem,full_IN-SAMPLE,2783,-0.021478175941454708,0.47827380705380185,-0.044907698528927786,-0.053745894192126525,-0.0007245970142918063,0.038221805639255056,0.029010464033892305,0.04582411452822816,0.8440073058439742,1.324174078780178,-0.021478175941453816,-0.04490769852892618,,,,,,,,
momentum_concentrated,blind_1y,223,-8.688552945911573,4.181366497430023,-2.07792188301403,-1.7436147201621612,-0.13905032650577512,0.05813520752314498,-0.08091511898263014,0.19004705157808618,0.7492485116118213,0.8293841005814734,-8.68855294591157,-2.0779218830140285,,-23.0860647354564,1.952191235059761,False,11.741543351289446,True,False,False
momentum_concentrated,full_IN-SAMPLE,2783,0.2575496521349019,0.8636389665272359,0.2982144879017333,0.39879911506253285,0.008688806231848178,-0.0385779612371181,-0.029889155005269917,0.08274651534227287,0.7595856128052183,0.9701823255849352,0.2575496521349028,0.29821448790173366,,,,,,,,
trend_vol_qqq,blind_5y,1227,-2.824624435923286,2.3017026434376007,-1.2271891175763259,-1.817993527758929,-0.0889692710249029,0.18529304602526572,0.0799837403151494,0.2058955103918684,0.629365460662335,1.3943607677205034,-2.824624435923291,-1.227189117576326,,-3.8424134270816372,1.7537848605577688,False,1.0503186011399153,False,False,False
trend_vol_qqq,full_IN-SAMPLE,2783,-0.8437566071542991,1.8475141154324393,-0.4566983278267429,-0.5234158673914886,-0.028465337093778412,0.13965647335398307,0.10123417298665821,0.17701303556556802,0.6105077724867743,1.3803330431371763,-0.8437566071542971,-0.456698327826742,,,,,,,,
defensive_ensemble,blind_5y,1227,0.4854363390393344,0.6005273437347265,0.8083501011300632,0.7801831630966662,0.015290145006201515,0.0537785867541746,0.030099282289353553,0.053719312655378,0.6873153793497605,1.9405134265072772,0.48543633903933125,0.8083501011300589,,-3.8424134270816372,1.7537848605577688,True,2.95820289140159,True,False,False
defensive_ensemble,full_IN-SAMPLE,2783,-0.23888765661332398,0.4053034119640605,-0.5894045042840815,-0.6414466577910654,-0.008059217095763163,0.05228589399051788,0.021812988386118094,0.03883271401152327,0.7377100810306403,1.8561512304727252,-0.2388876566133242,-0.5894045042840813,,,,,,,,
dual_momentum_gold,blind_5y,1227,1.5967036809316535,1.2502186750633135,1.2771395218926747,1.411456525890235,0.05029254888848045,0.08286877125129843,0.11558066086976845,0.11183651934254946,0.37494705198712464,1.4243027888446216,1.596703680931648,1.2771395218926713,,-3.8424134270816372,1.7537848605577688,True,2.8881534078737525,True,False,False
dual_momentum_gold,full_IN-SAMPLE,2783,-0.20906842443122894,1.190554659013726,-0.1756059017100689,-0.29041806928720476,-0.007053222607845919,0.0782021154363785,0.06240850226977161,0.11406878704654527,0.5786923266696811,1.3338627700127066,-0.20906842443123058,-0.17560590171007032,,,,,,,,
